Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,11,1,     2.2,     1.6,     2.0,     2.2,-,-,-,-,-
Punggol,2021,11,2,    14.0,     4.6,     8.0,    11.4,-,-,-,-,-
Punggol,2021,11,3,    12.6,     8.6,    10.4,    11.0,-,-,-,-,-
Punggol,2021,11,4,    16.0,    12.2,    15.6,    15.8,-,-,-,-,-
Punggol,2021,11,5,     7.2,     3.6,     3.6,     4.6,-,-,-,-,-
Punggol,2021,11,6,    19.6,    11.0,    17.6,    19.6,-,-,-,-,-
Punggol,2021,11,7,    12.6,    10.4,    11.8,    12.0,-,-,-,-,-
Punggol,2021,11,8,     0.8,     0.2,     0.4,     0.6,-,-,-,-,-
Punggol,2021,11,9,    12.8,     6.2,     7.0,     7.8,-,-,-,-,-
Punggol,2021,11,10,    21.6,     3.6,     6.8,    11.2,-,-,-,-,-
Punggol,2021,11,11,     1.0,     0.4,     0.6,     0.8,-,-,-,-,-
Punggol,2021,11,12,     1.2,     0.6,     0.8,     1.2,-,-,-,-,-
Punggol,2021,11,13,     2.8,     2.4,     2.4,     2.4,-,-,-,-,-
Punggol,2021,11,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,17,     9.0,     8.8,     8.8,     9.0,-,-,-,-,-
Punggol,2021,11,18,    24.2,    16.2,    16.6,    20.0,-,-,-,-,-
Punggol,2021,11,19,     0.8,     0.4,     0.4,     0.8,-,-,-,-,-
Punggol,2021,11,20,     8.8,     5.4,     6.6,     8.0,-,-,-,-,-
Punggol,2021,11,21,    31.6,    22.8,    26.0,    30.6,-,-,-,-,-
Punggol,2021,11,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,23,    20.6,    16.8,    19.0,    19.8,-,-,-,-,-
Punggol,2021,11,24,     8.8,     1.8,     3.0,     5.2,-,-,-,-,-
Punggol,2021,11,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,27,    24.8,    21.4,    21.8,    23.2,-,-,-,-,-
Punggol,2021,11,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,11,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
