yyyy_mm,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,year,month
2013-01,73.0,15,262.0,2013,1
2013-02,95.2,22,395.2,2013,2
2013-03,29.6,10,85.8,2013,3
2013-04,41.6,19,159.4,2013,4
2013-05,46.2,17,211.4,2013,5
2013-06,22.4,12,111.4,2013,6
2013-07,37.4,15,174.6,2013,7
2013-08,43.2,15,165.6,2013,8
2013-09,52.6,19,257.0,2013,9
2013-10,139.8,19,285.4,2013,10
2013-11,44.0,22,292.4,2013,11
2013-12,119.8,21,348.2,2013,12
2014-01,31.2,5,75.4,2014,1
2014-02,0.2,1,0.2,2014,2
2014-03,52.6,6,66.0,2014,3
2014-04,28.8,17,110.0,2014,4
2014-05,22.2,18,125.8,2014,5
2014-06,18.8,11,71.4,2014,6
2014-07,29.0,15,148.6,2014,7
2014-08,44.2,20,241.0,2014,8
2014-09,34.6,9,83.6,2014,9
2014-10,32.8,10,120.0,2014,10
2014-11,64.4,23,250.8,2014,11
2014-12,48.2,17,245.6,2014,12
2015-01,33.6,6,79.6,2015,1
2015-02,10.8,6,18.8,2015,2
2015-03,46.0,5,84.4,2015,3
2015-04,18.8,13,73.2,2015,4
2015-05,22.2,12,89.0,2015,5
2015-06,28.4,10,95.8,2015,6
2015-07,45.8,13,116.8,2015,7
2015-08,63.2,11,185.8,2015,8
2015-09,18.4,8,61.6,2015,9
2015-10,28.6,9,87.2,2015,10
2015-11,25.8,13,72.6,2015,11
2015-12,40.4,19,302.3,2015,12
2016-01,39.6,15,126.6,2016,1
2016-02,71.8,10,186.0,2016,2
2016-03,2.4,6,6.2,2016,3
2016-04,18.2,14,89.8,2016,4
2016-05,54.8,12,193.8,2016,5
2016-06,67.8,13,162.8,2016,6
2016-07,59.4,20,168.6,2016,7
2016-08,30.6,15,139.2,2016,8
2016-09,34.0,15,118.9,2016,9
2016-10,75.4,16,181.0,2016,10
2016-11,65.6,20,290.2,2016,11
2016-12,73.0,23,292.6,2016,12
2017-01,60.6,21,197.6,2017,1
2017-02,31.0,15,158.4,2017,2
2017-03,30.2,11,136.2,2017,3
2017-04,42.8,21,208.6,2017,4
2017-05,44.8,15,190.0,2017,5
2017-06,29.6,10,106.0,2017,6
2017-07,30.2,9,79.6,2017,7
2017-08,29.4,18,84.2,2017,8
2017-09,20.2,19,124.4,2017,9
2017-10,31.2,18,120.8,2017,10
2017-11,45.2,24,268.6,2017,11
2017-12,69.8,23,371.2,2017,12
2018-01,45.8,25,287.0,2018,1
2018-02,13.0,5,14.8,2018,2
2018-03,15.2,10,44.6,2018,3
2018-04,14.0,14,61.2,2018,4
2018-05,47.4,19,132.2,2018,5
2018-06,46.8,17,182.6,2018,6
2018-07,32.4,10,143.2,2018,7
2018-08,34.6,11,121.6,2018,8
2018-09,45.0,13,144.4,2018,9
2018-10,60.6,18,234.4,2018,10
2018-11,20.6,27,169.6,2018,11
2018-12,43.8,19,172.6,2018,12
2019-01,38.2,9,63.6,2019,1
2019-02,13.4,5,31.6,2019,2
2019-03,29.0,6,72.2,2019,3
2019-04,52.4,9,174.8,2019,4
2019-05,17.2,13,69.0,2019,5
2019-06,37.6,16,173.8,2019,6
2019-07,6.6,8,12.2,2019,7
2019-08,3.8,6,11.8,2019,8
2019-09,16.4,4,22.8,2019,9
2019-10,92.2,15,176.8,2019,10
2019-11,73.4,15,137.4,2019,11
2019-12,74.2,14,421.5,2019,12
2020-01,38.0,6,88.4,2020,1
2020-02,23.8,8,65.0,2020,2
2020-03,47.4,8,108.8,2020,3
2020-04,51.8,12,188.0,2020,4
2020-05,53.8,16,255.6,2020,5
2020-06,41.0,21,233.8,2020,6
2020-07,30.4,22,140.8,2020,7
2020-08,34.6,12,103.4,2020,8
2020-09,32.8,18,150.2,2020,9
2020-10,19.0,16,78.8,2020,10
2020-11,64.2,19,220.6,2020,11
2020-12,58.2,20,253.2,2020,12
2021-01,210.6,17,692.8,2021,1
2021-02,0.6,2,1.0,2021,2
2021-03,38.0,14,182.4,2021,3
2021-04,83.8,14,290.4,2021,4
2021-05,49.8,13,245.8,2021,5
2021-06,23.8,20,93.4,2021,6
2021-07,75.0,12,195.8,2021,7
2021-08,71.4,24,293.6,2021,8
2021-09,63.4,14,205.4,2021,9
2021-10,59.6,14,177.0,2021,10
2021-11,47.8,23,312.4,2021,11
2021-12,46.8,15,119.6,2021,12
2022-01,50.0,9,99.8,2022,1
2022-02,29.6,16,175.0,2022,2
2022-03,36.2,21,163.2,2022,3
2022-04,58.8,18,239.6,2022,4
2022-05,44.6,12,102.0,2022,5
2022-06,59.4,17,211.8,2022,6
2022-07,27.8,16,145.2,2022,7
2022-08,32.4,15,141.4,2022,8
2022-09,38.2,14,121.0,2022,9
2022-10,38.8,27,279.0,2022,10
2022-11,53.0,26,313.8,2022,11
2022-12,37.0,19,215.4,2022,12
