planning_area,population
Bedok,278870
Tampines,265610
Jurong West,258520
Sengkang,253050
Woodlands,252720
Hougang,227720
Yishun,222770
Choa Chu Kang,190460
Punggol,186250
Bukit Batok,165310
Ang Mo Kio,161440
Bukit Merah,149770
Pasir Ris,146350
Bukit Panjang,137540
Toa Payoh,128710
Serangoon,118150
Geylang,109520
Sembawang,108360
Kallang,100820
Queenstown,96790
Clementi,93770
Bishan,85870
Bukit Timah,79210
Jurong East,76600
Novena,50610
Marine Parade,46060
Tanglin,23050
Outram,17410
Rochor,12620
River Valley,11160
Newton,8770
Downtown Core,3510
Singapore River,3490
Southern Islands,2190
Mandai,2070
Changi,1740
Orchard,810
Sungei Kadut,660
Western Water Catchment,610
Museum,450
Seletar,240
Western Islands,0
Tuas,0
Tengah,0
Boon Lay,0
Central Water Catchment,0
Straits View,0
Simpang,0
North-Eastern Islands,0
Lim Chu Kang,0
Marina East,0
Marina South,0
Pioneer,0
Paya Lebar,0
Changi Bay,0
