station,year,month,day,daily_total_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,days_of_heavy_rain
Simei (East),2021,1,1,138.2,17.8,33.0,56.4,1
Simei (East),2021,1,2,182.6,20.6,36.8,58.4,1
Simei (East),2021,1,3,6.6,1.8,2.6,3.6,0
Simei (East),2021,1,4,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,5,0.8,0.8,0.8,0.8,0
Simei (East),2021,1,6,0.6,0.6,0.6,0.6,0
Simei (East),2021,1,7,3.6,1.6,2.0,2.4,0
Simei (East),2021,1,8,17.6,4.4,5.2,7.2,1
Simei (East),2021,1,9,25.4,9.0,9.6,9.8,1
Simei (East),2021,1,10,156.6,19.2,31.6,43.4,1
Simei (East),2021,1,11,3.8,2.2,2.2,3.2,0
Simei (East),2021,1,12,18.6,13.2,15.4,15.4,1
Simei (East),2021,1,13,2.4,0.6,0.8,0.8,0
Simei (East),2021,1,14,0.0,0.0,0.0,0.4,0
Simei (East),2021,1,15,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,16,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,17,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,18,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,19,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,20,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,21,5.6,3.4,5.0,5.6,0
Simei (East),2021,1,22,13.2,11.8,13.2,13.2,1
Simei (East),2021,1,23,27.2,15.0,25.0,27.2,1
Simei (East),2021,1,24,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,25,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,26,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,27,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,28,15.2,6.6,10.0,14.2,1
Simei (East),2021,1,29,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,30,0.0,0.0,0.0,0.0,0
Simei (East),2021,1,31,0.4,0.2,0.2,0.2,0
Simei (East),2021,2,1,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,2,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,3,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,4,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,5,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,6,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,7,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,8,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,9,0.8,0.8,0.8,0.8,0
Simei (East),2021,2,10,0.2,0.2,0.2,0.2,0
Simei (East),2021,2,11,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,12,7.4,7.2,7.2,7.4,1
Simei (East),2021,2,13,0.6,0.6,0.6,0.6,0
Simei (East),2021,2,14,0.8,0.8,0.8,0.8,0
Simei (East),2021,2,15,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,16,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,17,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,18,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,19,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,20,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,21,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,22,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,23,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,24,7.8,7.6,7.8,7.8,1
Simei (East),2021,2,25,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,26,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,27,0.0,0.0,0.0,0.0,0
Simei (East),2021,2,28,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,1,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,2,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,3,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,4,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,5,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,6,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,7,22.2,7.8,10.4,14.4,1
Simei (East),2021,3,8,0.2,0.2,0.2,0.2,0
Simei (East),2021,3,9,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,10,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,11,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,12,4.4,2.0,3.4,3.4,0
Simei (East),2021,3,13,1.0,0.6,0.8,1.0,0
Simei (East),2021,3,14,3.6,2.4,3.6,3.6,0
Simei (East),2021,3,15,19.0,18.2,18.8,19.0,1
Simei (East),2021,3,16,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,17,13.6,10.8,11.0,13.6,1
Simei (East),2021,3,18,1.4,1.2,1.2,1.2,0
Simei (East),2021,3,19,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,20,0.4,0.4,0.4,0.4,0
Simei (East),2021,3,21,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,22,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,23,3.4,1.6,1.6,1.6,0
Simei (East),2021,3,24,63.8,52.4,53.4,54.4,1
Simei (East),2021,3,25,0.8,0.6,0.6,0.6,0
Simei (East),2021,3,26,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,27,1.2,0.8,0.8,1.2,0
Simei (East),2021,3,28,0.0,0.0,0.0,0.0,0
Simei (East),2021,3,29,9.8,5.6,5.6,9.0,1
Simei (East),2021,3,30,23.6,18.0,19.0,19.0,1
Simei (East),2021,3,31,33.6,18.8,27.0,32.4,1
Simei (East),2021,4,1,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,2,84.8,43.4,67.0,78.6,1
Simei (East),2021,4,3,7.0,3.4,3.6,5.6,0
Simei (East),2021,4,4,29.0,10.6,15.8,17.4,1
Simei (East),2021,4,5,59.8,50.8,57.4,57.8,1
Simei (East),2021,4,6,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,7,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,8,6.8,3.6,5.4,6.8,0
Simei (East),2021,4,9,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,10,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,11,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,12,15.6,15.0,15.0,15.0,1
Simei (East),2021,4,13,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,14,6.8,6.4,6.8,6.8,1
Simei (East),2021,4,15,15.8,6.2,11.8,12.6,1
Simei (East),2021,4,16,0.2,0.2,0.2,0.2,0
Simei (East),2021,4,17,72.6,23.4,33.2,39.2,1
Simei (East),2021,4,18,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,19,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,20,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,21,0.6,0.6,0.6,0.6,0
Simei (East),2021,4,22,2.6,1.6,2.0,2.6,0
Simei (East),2021,4,23,0.6,0.6,0.6,0.6,0
Simei (East),2021,4,24,18.8,4.0,7.8,13.2,1
Simei (East),2021,4,25,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,26,0.6,0.4,0.6,0.6,0
Simei (East),2021,4,27,39.0,29.2,38.0,39.0,1
Simei (East),2021,4,28,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,29,0.0,0.0,0.0,0.0,0
Simei (East),2021,4,30,0.0,0.0,0.0,0.0,0
Simei (East),2021,5,1,1.6,1.0,1.2,1.2,0
Simei (East),2021,5,2,0.0,0.0,0.0,0.2,0
Simei (East),2021,5,3,0.0,0.0,0.0,0.0,0
Simei (East),2021,5,4,0.0,0.0,0.0,0.0,0
Simei (East),2021,5,5,0.2,0.2,0.2,0.2,0
Simei (East),2021,5,6,2.0,1.0,1.4,2.0,0
Simei (East),2021,5,7,5.8,5.8,5.8,5.8,1
Simei (East),2021,5,8,1.6,1.0,1.0,1.4,0
Simei (East),2021,5,9,0.0,0.0,0.0,0.0,0
Simei (East),2021,5,10,0.0,0.0,0.0,0.0,0
Simei (East),2021,5,11,0.2,0.2,0.2,0.2,0
